city,state_name,lat,lng,population,probability,n_prob,,state,score,prob,,Metrics
Birmingham,Alabama,33.5206608,-86.80249,212237,0.017737485,0.000191512,,Alabama,45,0.017737485,,2537
Montgomery,Alabama,32.3668052,-86.2999689,205764,0.017737485,0.000191512,,Alaska,29,0.011430824,,92.61805307
Mobile,Alabama,30.6943566,-88.0430541,195111,0.017737485,0.000191512,,Arizona,42,0.016554986,,
Huntsville,Alabama,34.7303688,-86.5861037,180105,0.017737485,0.000191512,,Arkansas,20,0.007883327,,
Tuscaloosa,Alabama,33.2098407,-87.5691735,90468,0.017737485,0.000191512,,California,54,0.021284982,,
Hoover,Alabama,33.4053867,-86.8113782,81619,0.017737485,0.000191512,,Colorado,45,0.017737485,,
Dothan,Alabama,31.2232313,-85.3904889,65496,0.017737485,0.000191512,,Connecticut,46,0.018131652,,
Decatur,Alabama,34.6059254,-86.9833417,55683,0.017737485,0.000191512,,Delaware,38,0.014978321,,
Auburn,Alabama,32.6098566,-85.4807825,53380,0.017737485,0.000191512,,District of Columbia,92,0.036263303,,
Madison,Alabama,34.6992579,-86.7483318,42938,0.017737485,0.000191512,,Florida,35,0.013795822,,
Florence,Alabama,34.79981,-87.677251,39319,0.017737485,0.000191512,,Georgia,36,0.014189988,,
Gadsden,Alabama,34.014264,-86.0066386,36856,0.017737485,0.000191512,,Hawaii,33,0.013007489,,
Vestavia Hills,Alabama,33.4487183,-86.7877668,34033,0.017737485,0.000191512,,Idaho,47,0.018525818,,
Prattville,Alabama,32.4640245,-86.4596966,33960,0.017737485,0.000191512,,Illinois,40,0.015766654,,
Phenix City,Alabama,32.4709761,-85.0007653,32822,0.017737485,0.000191512,,Indiana,41,0.01616082,,
Alabaster,Alabama,33.2442813,-86.8163773,30352,0.017737485,0.000191512,,Iowa,53,0.020890816,,
Bessemer,Alabama,33.4017766,-86.954437,27456,0.017737485,0.000191512,,Kansas,34,0.013401655,,
Enterprise,Alabama,31.3151708,-85.8552161,26562,0.017737485,0.000191512,,Kentucky,50,0.019708317,,
Opelika,Alabama,32.6454116,-85.3782795,26477,0.017737485,0.000191512,,Louisiana,33,0.013007489,,
Homewood,Alabama,33.4717732,-86.8008228,25167,0.017737485,0.000191512,,Maine,45,0.017737485,,
Northport,Alabama,33.229007,-87.5772293,23330,0.017737485,0.000191512,,Maryland,50,0.019708317,,
Anniston,Alabama,33.6598257,-85.8316318,23106,0.017737485,0.000191512,,Massachusetts,63,0.024832479,,
Prichard,Alabama,30.7387998,-88.0788889,22659,0.017737485,0.000191512,,Michigan,50,0.019708317,,
Athens,Alabama,34.8028661,-86.9716741,21897,0.017737485,0.000191512,,Minnesota,67,0.026409145,,
Daphne,Alabama,30.6035255,-87.9036047,21570,0.017737485,0.000191512,,Mississippi,48,0.018919984,,
Pelham,Alabama,33.2856687,-86.8099885,21352,0.017737485,0.000191512,,Missouri,44,0.017343319,,
Oxford,Alabama,33.6142714,-85.8349648,21348,0.017737485,0.000191512,,Montana,61,0.024044147,,
Albertville,Alabama,34.2675937,-86.2088669,21160,0.017737485,0.000191512,,Nebraska,52,0.02049665,,
Selma,Alabama,32.4073589,-87.0211007,20756,0.017737485,0.000191512,,Nevada,33,0.013007489,,
Mountain Brook,Alabama,33.5009384,-86.7522107,20413,0.017737485,0.000191512,,New Hampshire,45,0.017737485,,
Trussville,Alabama,33.6198251,-86.6088756,19933,0.017737485,0.000191512,,New Jersey,49,0.019314151,,
Troy,Alabama,31.8087678,-85.969951,18033,0.017737485,0.000191512,,New Mexico,30,0.01182499,,
Tillmans Corner,Alabama,30.5901929,-88.1708352,17398,0.017737485,0.000191512,,New York,58,0.022861648,,
Center Point,Alabama,33.6456583,-86.6836001,16921,0.017737485,0.000191512,,North Carolina,44,0.017343319,,
Helena,Alabama,33.296224,-86.8436004,16793,0.017737485,0.000191512,,North Dakota,85,0.033504139,,
Hueytown,Alabama,33.4512197,-86.9966606,16105,0.017737485,0.000191512,,Ohio,39,0.015372487,,
Talladega,Alabama,33.4359416,-86.1058048,15676,0.017737485,0.000191512,,Oklahoma,33,0.013007489,,
Fairhope,Alabama,30.5229719,-87.9033261,15326,0.017737485,0.000191512,,Oregon,52,0.02049665,,
Ozark,Alabama,31.4590576,-85.6404932,14907,0.017737485,0.000191512,,Pennsylvania,56,0.022073315,,
Alexander City,Alabama,32.944012,-85.9538532,14875,0.017737485,0.000191512,,Rhode Island,100,0.039416634,,
Cullman,Alabama,34.1748208,-86.8436124,14775,0.017737485,0.000191512,,South Carolina,34,0.013401655,,
Scottsboro,Alabama,34.6723069,-86.0341463,14770,0.017737485,0.000191512,,South Dakota,98,0.038628301,,
Millbrook,Alabama,32.4798575,-86.3619163,14640,0.017737485,0.000191512,,Tennessee,31,0.012219156,,
Foley,Alabama,30.4065868,-87.6835974,14618,0.017737485,0.000191512,,Texas,44,0.017343319,,
Jasper,Alabama,33.8312185,-87.2775053,14352,0.017737485,0.000191512,,Utah,70,0.027591644,,
Hartselle,Alabama,34.4434282,-86.9352842,14255,0.017737485,0.000191512,,Vermont,92,0.036263303,,
Fort Payne,Alabama,34.4442547,-85.7196893,14012,0.017737485,0.000191512,,Virginia,50,0.019708317,,
Gardendale,Alabama,33.6601033,-86.8127702,13893,0.017737485,0.000191512,,Washington,68,0.026803311,,
Saraland,Alabama,30.820742,-88.0705556,13405,0.017737485,0.000191512,,West Virginia,39,0.015372487,,
Muscle Shoals,Alabama,34.7448112,-87.6675292,13146,0.017737485,0.000191512,,Wisconsin,44,0.017343319,,
Eufaula,Alabama,31.8912717,-85.1454876,13137,0.017737485,0.000191512,,Wyoming,50,0.019708317,,
Sylacauga,Alabama,33.1731716,-86.2516406,12749,0.017737485,0.000191512,,,,,,
Pell City,Alabama,33.5862149,-86.2860888,12695,0.017737485,0.000191512,,,,,,
Jacksonville,Alabama,33.8137125,-85.7613536,12548,0.017737485,0.000191512,,,,,,
Irondale,Alabama,33.5381601,-86.7072102,12349,0.017737485,0.000191512,,,,,,
Leeds,Alabama,33.5481597,-86.5444288,11773,0.017737485,0.000191512,,,,,,
Moody,Alabama,33.5909365,-86.4908168,11726,0.017737485,0.000191512,,,,,,
Calera,Alabama,33.1028965,-86.7535975,11620,0.017737485,0.000191512,,,,,,
Fairfield,Alabama,33.4859402,-86.9119366,11117,0.017737485,0.000191512,,,,,,
Saks,Alabama,33.6987135,-85.8396879,10744,0.017737485,0.000191512,,,,,,
Atmore,Alabama,31.0237921,-87.4938708,10194,0.017737485,0.000191512,,,,,,
Chelsea,Alabama,33.3401108,-86.6302625,10183,0.017737485,0.000191512,,,,,,
Forestdale,Alabama,33.5701054,-86.8963819,10162,0.017737485,0.000191512,,,,,,
Pleasant Grove,Alabama,33.4909405,-86.9702714,10110,0.017737485,0.000191512,,,,,,
Tuskegee,Alabama,32.4240286,-85.6916195,9865,0.017737485,0.000191512,,,,,,
Russellville,Alabama,34.5078726,-87.7286432,9830,0.017737485,0.000191512,,,,,,
Gulf Shores,Alabama,30.2460361,-87.7008193,9741,0.017737485,0.000191512,,,,,,
Clay,Alabama,33.7026013,-86.5997096,9708,0.017737485,0.000191512,,,,,,
Rainbow City,Alabama,33.9548201,-86.0419169,9602,0.017737485,0.000191512,,,,,,
Boaz,Alabama,34.2006503,-86.1663655,9551,0.017737485,0.000191512,,,,,,
Valley,Alabama,32.8187406,-85.1793852,9524,0.017737485,0.000191512,,,,,,
Sheffield,Alabama,34.7650887,-87.6986407,9039,0.017737485,0.000191512,,,,,,
Andalusia,Alabama,31.3085039,-86.4832913,9015,0.017737485,0.000191512,,,,,,
Clanton,Alabama,32.8387371,-86.6294262,8619,0.017737485,0.000191512,,,,,,
Tuscumbia,Alabama,34.7312005,-87.70253,8423,0.017737485,0.000191512,,,,,,
Southside,Alabama,33.9245425,-86.0224718,8412,0.017737485,0.000191512,,,,,,
Fultondale,Alabama,33.6048261,-86.79388,8380,0.017737485,0.000191512,,,,,,
Guntersville,Alabama,34.3581473,-86.2947041,8197,0.017737485,0.000191512,,,,,,
Greenville,Alabama,31.8295972,-86.6177517,8135,0.017737485,0.000191512,,,,,,
Arab,Alabama,34.3181497,-86.4958219,8050,0.017737485,0.000191512,,,,,,
Bay Minette,Alabama,30.8829628,-87.7730474,8044,0.017737485,0.000191512,,,,,,
Demopolis,Alabama,32.5176361,-87.836402,7483,0.017737485,0.000191512,,,,,,
Pinson,Alabama,33.6889908,-86.6833229,7163,0.017737485,0.000191512,,,,,,
Hamilton,Alabama,34.1423235,-87.9886438,6885,0.017737485,0.000191512,,,,,,
Spanish Fort,Alabama,30.6749127,-87.9152724,6798,0.017737485,0.000191512,,,,,,
Opp,Alabama,31.2826685,-86.2555067,6659,0.017737485,0.000191512,,,,,,
Oneonta,Alabama,33.9481537,-86.472764,6567,0.017737485,0.000191512,,,,,,
Anchorage,Alaska,61.2180556,-149.9002778,291826,0.011430824,0.000123419,,,,,,
Fairbanks,Alaska,64.8377778,-147.7163889,31535,0.011430824,0.000123419,,,,,,
Juneau,Alaska,58.3019444,-134.4197222,31275,0.011430824,0.000123419,,,,,,
College,Alaska,64.8569444,-147.8027778,12964,0.011430824,0.000123419,,,,,,
Sitka,Alaska,57.0530556,-135.33,8881,0.011430824,0.000123419,,,,,,
Ketchikan,Alaska,55.3422222,-131.6461111,8050,0.011430824,0.000123419,,,,,,
Kalifornsky,Alaska,60.4183333,-151.29,7850,0.011430824,0.000123419,,,,,,
Wasilla,Alaska,61.5813889,-149.4394444,7831,0.011430824,0.000123419,,,,,,
Kenai,Alaska,60.5544444,-151.2583333,7100,0.011430824,0.000123419,,,,,,
Phoenix,Arizona,33.4483771,-112.0740373,1445632,0.016554986,0.000178745,,,,,,
Tucson,Arizona,32.2217429,-110.926479,520116,0.016554986,0.000178745,,,,,,
Mesa,Arizona,33.4222685,-111.8226402,439041,0.016554986,0.000178745,,,,,,
Chandler,Arizona,33.3061605,-111.8412502,236123,0.016554986,0.000178745,,,,,,
Glendale,Arizona,33.5386523,-112.1859866,226721,0.016554986,0.000178745,,,,,,
Scottsdale,Arizona,33.5092103,-111.8990327,217385,0.016554986,0.000178745,,,,,,
Gilbert,Arizona,33.3528264,-111.789027,208453,0.016554986,0.000178745,,,,,,
Tempe,Arizona,33.414768,-111.9093095,161719,0.016554986,0.000178745,,,,,,
Peoria,Arizona,33.5805955,-112.2373779,154065,0.016554986,0.000178745,,,,,,
Surprise,Arizona,33.6305938,-112.333216,117517,0.016554986,0.000178745,,,,,,
Yuma,Arizona,32.7253249,-114.624397,93064,0.016554986,0.000178745,,,,,,
Avondale,Arizona,33.4355977,-112.3496021,76238,0.016554986,0.000178745,,,,,,
Casas Adobes,Arizona,32.3234078,-110.9950966,66795,0.016554986,0.000178745,,,,,,
Flagstaff,Arizona,35.1980671,-111.6512725,65870,0.016554986,0.000178745,,,,,,
Goodyear,Arizona,33.4353199,-112.3582135,65275,0.016554986,0.000178745,,,,,,
Lake Havasu City,Arizona,34.483901,-114.3224548,52527,0.016554986,0.000178745,,,,,,
Buckeye,Arizona,33.3703197,-112.5837766,50876,0.016554986,0.000178745,,,,,,
Catalina Foothills,Arizona,32.297853,-110.9187037,50796,0.016554986,0.000178745,,,,,,
Casa Grande,Arizona,32.8795022,-111.7573521,48571,0.016554986,0.000178745,,,,,,
Sierra Vista,Arizona,31.5545394,-110.3036912,43888,0.016554986,0.000178745,,,,,,
Maricopa,Arizona,33.0581063,-112.0476423,43482,0.016554986,0.000178745,,,,,,
Oro Valley,Arizona,32.3909071,-110.966488,41011,0.016554986,0.000178745,,,,,,
Prescott,Arizona,34.5400242,-112.4685025,39843,0.016554986,0.000178745,,,,,,
Bullhead City,Arizona,35.1477774,-114.5682983,39540,0.016554986,0.000178745,,,,,,
Prescott Valley,Arizona,34.6100243,-112.315721,38822,0.016554986,0.000178745,,,,,,
Sun City,Arizona,33.5975393,-112.2718239,37499,0.016554986,0.000178745,,,,,,
Apache Junction,Arizona,33.4150485,-111.5495777,35840,0.016554986,0.000178745,,,,,,
Marana,Arizona,32.436738,-111.2253822,34961,0.016554986,0.000178745,,,,,,
El Mirage,Arizona,33.6130942,-112.3246042,31797,0.016554986,0.000178745,,,,,,
Kingman,Arizona,35.189443,-114.0530065,28068,0.016554986,0.000178745,,,,,,
Queen Creek,Arizona,33.2486639,-111.6342993,26361,0.016554986,0.000178745,,,,,,
Florence,Arizona,33.0314508,-111.3873431,25536,0.016554986,0.000178745,,,,,,
San Luis,Arizona,32.4869996,-114.7821796,25505,0.016554986,0.000178745,,,,,,
Sahuarita,Arizona,31.9575818,-110.955646,25259,0.016554986,0.000178745,,,,,,
Sun City West,Arizona,33.6619819,-112.3412726,24535,0.016554986,0.000178745,,,,,,
Fountain Hills,Arizona,33.6117105,-111.7173613,22489,0.016554986,0.000178745,,,,,,
Anthem,Arizona,33.8672581,-112.1468235,21700,0.016554986,0.000178745,,,,,,
Green Valley,Arizona,31.86580957,-110.9957578,21391,0.016554986,0.000178745,,,,,,
Nogales,Arizona,31.3403775,-110.9342532,20837,0.016554986,0.000178745,,,,,,
Rio Rico,Arizona,31.4714828,-110.9764769,18962,0.016554986,0.000178745,,,,,,
Douglas,Arizona,31.3445471,-109.5453447,17378,0.016554986,0.000178745,,,,,,
Tanque Verde,Arizona,32.2517423,-110.7373056,16901,0.016554986,0.000178745,,,,,,
Eloy,Arizona,32.7558962,-111.554844,16631,0.016554986,0.000178745,,,,,,
Payson,Arizona,34.2308684,-111.3251355,15301,0.016554986,0.000178745,,,,,,
New River,Arizona,33.9158687,-112.1359906,14952,0.016554986,0.000178745,,,,,,
Sierra Vista Southeast,Arizona,31.4524491,-110.2159717,14797,0.016554986,0.000178745,,,,,,
Fort Mohave,Arizona,35.0003955,-114.57485,14364,0.016554986,0.000178745,,,,,,
Somerton,Arizona,32.5964404,-114.709677,14287,0.016554986,0.000178745,,,,,,
Sun Lakes,Arizona,33.2111623,-111.8754166,13975,0.016554986,0.000178745,,,,,,
Paradise Valley,Arizona,33.5311541,-111.9426452,12820,0.016554986,0.000178745,,,,,,
Coolidge,Arizona,32.977839,-111.517624,11825,0.016554986,0.000178745,,,,,,
Verde Village,Arizona,34.710499,-112.011516,11605,0.016554986,0.000178745,,,,,,
Cottonwood,Arizona,34.7391876,-112.0098791,11265,0.016554986,0.000178745,,,,,,
Camp Verde,Arizona,34.5636358,-111.8543178,10873,0.016554986,0.000178745,,,,,,
Chino Valley,Arizona,34.7575227,-112.4537809,10817,0.016554986,0.000178745,,,,,,
Show Low,Arizona,34.2542084,-110.0298327,10660,0.016554986,0.000178745,,,,,,
Arizona City,Arizona,32.7558935,-111.6709584,10475,0.016554986,0.000178745,,,,,,
Vail,Arizona,32.0478583,-110.7120272,10208,0.016554986,0.000178745,,,,,,
Gold Canyon,Arizona,33.364646,-111.461565,10159,0.016554986,0.000178745,,,,,,
Sedona,Arizona,34.8697395,-111.7609896,10031,0.016554986,0.000178745,,,,,,
Winslow,Arizona,35.0241873,-110.6973571,9655,0.016554986,0.000178745,,,,,,
Saddlebrooke,Arizona,32.5385117,-110.8581257,9614,0.016554986,0.000178745,,,,,,
Safford,Arizona,32.8339546,-109.70758,9566,0.016554986,0.000178745,,,,,,
Picture Rocks,Arizona,32.3459069,-111.2462146,9563,0.016554986,0.000178745,,,,,,
Tuba City,Arizona,36.1349928,-111.2398625,8611,0.016554986,0.000178745,,,,,,
